2101060500030,110990 ด้ามจอบ 1.20 เมตร/SPOA,ด้าม,
2101060500047,111003 ด้ามจอบ 1.50 เมตร/SPOA,ด้าม,
2101060600027,ด้ามจอบไม้เต็ง1.50เมตร,ด้าม,
2101060600037,ด้ามจอบขยัน+พลั่ว+คลาด(1.20 เมตร),ด้าม,
2101070200012,ปากกาตั้งโต๊ะตราปลา50/ซีไอที,ชุด,
2101070200019,ตัวโชว์รวม,ชุด,
2101070200043,กรรไกรตัดสายเคเบิลDAN24"/ซีไอที,อัน,
2101070200067,LS6309Aตระแกรงกันกลิ่น90*90/ซีไอที,ชิ้น,
2101070200074,LS6304Aตระแกรงกันกลิ่น100*100/ซีไอที,ชิ้น,
2101070200081,LS009ตระแกรงท่อเกลียวแบบกลม/ซีไอที,ชิ้น,
2101070200098,LS6362Aตระแกรงท่อเกลียวแบบกลม150*150/ซีไอที,ชิ้น,
2101070200104,LS010Aตระแกรงสแตนเลสเหลี่ยมสำหรับท่อ/ซีไอที,ชิ้น,
2101070200111,FS420ฝักบัวชำระ รุ่น NEPTUNE สีขาว/ซีไอที,ชิ้น,
2101070200128,RH108Wฝักบัวชำระเฉพาะหัว/ซีไอที,ชิ้น,
2101070200142,SHT180ชุดฝักบัวก้านแข็งABS/ซีไอที,ชิ้น,
2101080200040,กระบะผสมปูนพลาสติกดำ/ตราเพชร,ใบ,
2101080200065,กะบะพลาสติกสีฟ้า/เพื่อนช้าง,ชิ้น,
2101080300078,สามเหลี่ยมปาดปูน1.8เมตร/สกาล่า,ชิ้น,
2101080300085,สามเหลี่ยมปาดปูน2.0เมตร/สกาล่า,ชิ้น,
2101080300108,เกรียงฉาบปูน/เพชรเงิน,ชิ้น,
2101080300122,เกรียงไม้สี่เหลี่ยม,ชิ้น,
2101080300146,เกรียงก่อใบโพธิ/ตราเสือ,ชิ้น,
2101080300153,เกรียงหวี (P24) /ซุปเปอร์แชมป์,ชิ้น,
2101080300160,101745 มิเนียมสามเหลี่ยมโบกปูน 1 m/SPOA,ชิ้น,
2101080300177,101752 มิเนียมสามเหลี่ยมโบกปูน 1.20 m/SPOA,ชิ้น,
2101080300184,111331 มิเนียมสามเหลี่ยมโบกปูน 1.50 m/SPOA,ชิ้น,
2101080300191,103602 มิเนียมสามเหลี่ยมโบกปูน 2 m/SPOA,ชิ้น,
